Article_Title,Article_Author,Publishing_Date,Article_Link
See Atomico’s most senior VCs on stage at Disrupt Berlin,Connie Loizos,"Sat, 07 Dec 2019 06:00:07 +0000",https://techcrunch.com/2019/12/06/see-atomicos-most-senior-vcs-on-stage-at-disrupt-berlin/
Elon Musk found not liable in case brought against him by British diver,Connie Loizos,"Fri, 06 Dec 2019 23:26:18 +0000",https://techcrunch.com/2019/12/06/elon-musk-found-not-liable-in-case-brought-against-him-by-british-diver/
"To measure sales efficiency, SaaS startups should use the 4×2",Walter Thompson,"Fri, 06 Dec 2019 22:33:40 +0000",https://techcrunch.com/2019/12/06/to-measure-sales-efficiency-saas-startups-should-use-the-4x2/
Boeing Starliner crew capsule and Atlas V rocket complete dress rehearsal ahead of test flight,Darrell Etherington,"Fri, 06 Dec 2019 22:23:00 +0000",https://techcrunch.com/2019/12/06/boeing-starliner-crew-capsule-and-atlas-v-rocket-complete-dress-rehearsal-ahead-of-test-flight/
Bird lays off several Scoot employees,Megan Rose Dickey,"Fri, 06 Dec 2019 21:56:21 +0000",https://techcrunch.com/2019/12/06/bird-lays-off-several-scoot-employees/
The inevitable takedown of the female CEO,Henry Pickavet,"Fri, 06 Dec 2019 21:30:27 +0000",https://techcrunch.com/2019/12/06/the-inevitable-takedown-of-the-female-ceo/
Will the 2020s be online advertising’s holistic decade?,Walter Thompson,"Fri, 06 Dec 2019 21:04:26 +0000",https://techcrunch.com/2019/12/06/will-the-2020s-be-online-advertisings-holistic-decade/
Raising VC in Silicon Valley as a female POC,Walter Thompson,"Fri, 06 Dec 2019 20:26:36 +0000",https://techcrunch.com/2019/12/06/raising-vc-in-silicon-valley-as-a-female-poc/
Daily Crunch: Uber reveals sexual assault numbers,Anthony Ha,"Fri, 06 Dec 2019 19:50:41 +0000",https://techcrunch.com/2019/12/06/daily-crunch-uber-safety/
Gift Guide: VR gear you won’t feel stupid for buying,Lucas Matney,"Fri, 06 Dec 2019 19:00:03 +0000",https://techcrunch.com/2019/12/06/gift-guide-vr-gear-you-wont-feel-stupid-for-buying/
Report: Magic Leap’s early device sales aren’t looking good,Lucas Matney,"Fri, 06 Dec 2019 18:49:54 +0000",https://techcrunch.com/2019/12/06/report-magic-leaps-early-device-sales-arent-looking-good/
Dutch startup Meatable is developing lab-grown pork and has $10 million in new financing to do it,Jonathan Shieber,"Fri, 06 Dec 2019 17:22:46 +0000",https://techcrunch.com/2019/12/06/dutch-startup-meatable-is-developing-lab-grown-pork-and-has-10-million-in-new-financing-to-do-it/
Move over Slack — Space is a new project management platform for developers,Mike Butcher,"Fri, 06 Dec 2019 17:06:06 +0000",https://techcrunch.com/2019/12/06/move-over-slack-space-is-a-new-project-management-platform-for-developers/
Essential tools for today’s digital nomad,Walter Thompson,"Fri, 06 Dec 2019 15:37:26 +0000",https://techcrunch.com/2019/12/06/essential-tools-for-todays-digital-nomad/
"Canva introduces video editing, has big plans for 2020",Jordan Crook,"Fri, 06 Dec 2019 15:10:20 +0000",https://techcrunch.com/2019/12/06/canva-introduces-video-editing-has-big-plans-for-2020/
Closing the race and gender funding gap,Kate Clark,"Fri, 06 Dec 2019 14:01:16 +0000",https://techcrunch.com/2019/12/06/closing-the-race-and-gender-funding-gap/
Reelgood raises $6.75 million for its universal streaming guide,Sarah Perez,"Fri, 06 Dec 2019 14:00:17 +0000",https://techcrunch.com/2019/12/06/reelgood-raises-6-75-million-for-its-universal-streaming-guide/
This Lego Cybertruck is one even Elon can love,Darrell Etherington,"Fri, 06 Dec 2019 13:45:39 +0000",https://techcrunch.com/2019/12/06/this-lego-cybertruck-is-one-even-elon-can-love/
Rocket Lab launches 10th Electron mission with successful rocket booster re-entry,Darrell Etherington,"Fri, 06 Dec 2019 12:45:57 +0000",https://techcrunch.com/2019/12/06/rocket-lab-launches-10th-electron-mission-with-successful-rocket-booster-re-entry/
"Style Theory, a fashion rental startup in Southeast Asia, raises $15 million led by SoftBank Ventures Asia",Catherine Shu,"Fri, 06 Dec 2019 12:36:17 +0000",https://techcrunch.com/2019/12/06/style-theory-a-fashion-rental-startup-in-southeast-asia-raises-15-million-led-by-softbank-ventures-asia/
